,i,j,k,method,bs,r,sample,p,event,count
149,1024,64,800,tiled,1024,0.40615859883769795,1,CFG_LL_TLB,dTLB-load-misses,23939220
150,1024,64,800,tiled,1024,0.40615859883769795,1,CFG_LL_TLB,page-faults,0
151,1024,64,800,tiled,1024,0.40615859883769795,1,CFG_LL_TLB,task-clock,1485796612
152,1024,64,800,tiled,1024,0.5484416576121015,1,CFG_LL_TLB,L1-dcache-loads,2674168392
153,1024,64,800,tiled,1024,0.5484416576121015,1,CFG_LL_TLB,cache-misses,9493597
154,1024,64,800,tiled,1024,0.5484416576121015,1,CFG_LL_TLB,cache-references,104912431
155,1024,64,800,tiled,1024,0.5484416576121015,1,CFG_LL_TLB,context-switches,0
156,1024,64,800,tiled,1024,0.5484416576121015,1,CFG_LL_TLB,cpu-migrations,0
157,1024,64,800,tiled,1024,0.5484416576121015,1,CFG_LL_TLB,dTLB-load-misses,22722157
158,1024,64,800,tiled,1024,0.5484416576121015,1,CFG_LL_TLB,page-faults,0
159,1024,64,800,tiled,1024,0.5484416576121015,1,CFG_LL_TLB,task-clock,1484555165
160,1024,64,800,tiled,1024,0.027213387683753074,0,CFG_LL_TLB,L1-dcache-loads,2674147899
161,1024,64,800,tiled,1024,0.027213387683753074,0,CFG_LL_TLB,cache-misses,15231670
162,1024,64,800,tiled,1024,0.027213387683753074,0,CFG_LL_TLB,cache-references,103063251
163,1024,64,800,tiled,1024,0.027213387683753074,0,CFG_LL_TLB,context-switches,0
164,1024,64,800,tiled,1024,0.027213387683753074,0,CFG_LL_TLB,cpu-migrations,0
165,1024,64,800,tiled,1024,0.027213387683753074,0,CFG_LL_TLB,dTLB-load-misses,42270946
166,1024,64,800,tiled,1024,0.027213387683753074,0,CFG_LL_TLB,page-faults,0
167,1024,64,800,tiled,1024,0.027213387683753074,0,CFG_LL_TLB,task-clock,1726133005
168,1024,64,800,tiled,1024,0.014924955450518291,1,CFG_LL_TLB,L1-dcache-loads,2674185586
169,1024,64,800,tiled,1024,0.014924955450518291,1,CFG_LL_TLB,cache-misses,17407682
170,1024,64,800,tiled,1024,0.014924955450518291,1,CFG_LL_TLB,cache-references,104841923
171,1024,64,800,tiled,1024,0.014924955450518291,1,CFG_LL_TLB,context-switches,0
172,1024,64,800,tiled,1024,0.014924955450518291,1,CFG_LL_TLB,cpu-migrations,0
173,1024,64,800,tiled,1024,0.014924955450518291,1,CFG_LL_TLB,dTLB-load-misses,53779013
174,1024,64,800,tiled,1024,0.014924955450518291,1,CFG_LL_TLB,page-faults,0
175,1024,64,800,tiled,1024,0.014924955450518291,1,CFG_LL_TLB,task-clock,1819634053
176,1024,64,800,tiled,1024,0.014924955450518291,0,CFG_LL_TLB,L1-dcache-loads,2674254109
177,1024,64,800,tiled,1024,0.014924955450518291,0,CFG_LL_TLB,cache-misses,15862320
178,1024,64,800,tiled,1024,0.014924955450518291,0,CFG_LL_TLB,cache-references,104846452
179,1024,64,800,tiled,1024,0.014924955450518291,0,CFG_LL_TLB,context-switches,0
180,1024,64,800,tiled,1024,0.014924955450518291,0,CFG_LL_TLB,cpu-migrations,0
181,1024,64,800,tiled,1024,0.014924955450518291,0,CFG_LL_TLB,dTLB-load-misses,41987234
182,1024,64,800,tiled,1024,0.014924955450518291,0,CFG_LL_TLB,page-faults,0
183,1024,64,800,tiled,1024,0.014924955450518291,0,CFG_LL_TLB,task-clock,1780056488
184,1024,64,800,tiled,1024,0.0013503140378698735,0,CFG_LL_TLB,L1-dcache-loads,2674136025
185,1024,64,800,tiled,1024,0.0013503140378698735,0,CFG_LL_TLB,cache-misses,15289230
